system:index,Mukey,SOC 0-30C,prop,b1,b2,b3,b4,b5,b6,b7,b8,b8a,b9,b10,b11,b12,QA10,QA20,QA60,,,,,,,,
26,1906102,965.0,Not prime farmland,0.0333000011742115,0.051899999380111700,0.06159999966621400,0.07410000264644620,0.08309999853372570,0.08500000089406970,0.0868000015616417,0.08290000259876250,0.08160000294446950,0.09470000118017200,0.0835999995470047,0.07959999889135360,0.006200000178068880,0.11919999867677700,1.99999994947575E-04,0.007600000128149990,0.006300000008195640,0.005400000140070920,0.0,0.0,0.0,0.0,0.0,0.07829059660434720
27,470867,965.0,Not prime farmland,0.007699999958276750,0.01360000018030410,0.025100000202655800,0.024399999529123300,0.04639999940991400,0.11010000109672500,0.13979999721050300,0.14980000257492100,0.15440000593662300,0.16009999811649300,0.0908999964594841,0.054099999368190800,0.006200000178068880,0.060499999672174500,3.9999998989515E-04,0.0026000000070780500,0.0027000000700354600,0.001500000013038520,0.0,0.0,0.0,0.0,0.0,-0.17258699238300300
28,487199,670.0,Not prime farmland,0.22840000689029700,0.1793999969959260,0.18469999730587000,0.1860000044107440,0.21719999611377700,0.2791999876499180,0.2985999882221220,0.3082999885082250,0.3093999922275540,0.4165000021457670,0.2727000117301940,0.2176000028848650,0.008500000461936000,0.04969999939203260,7.999999797903E-04,0.01889999955892560,0.018799999728798900,0.018300000578165100,0.002300000051036480,0.0,0.0,0.0,0.0,-0.030642418190836900
29,487199,670.0,Not prime farmland,0.0689999982714653,0.08309999853372570,0.09759999811649320,0.09830000251531600,0.13330000638961800,0.21289999783039100,0.2363000065088270,0.24269999563694,0.2542000114917760,0.27549999952316300,0.20250000059604600,0.1347000002861020,0.008200000040233140,0.04690000042319300,0.0010000000474974500,0.010099999606609300,0.009999999776482580,0.008500000461936000,0.0,0.0,0.0,0.0,0.0,-0.039897870272398000
30,487199,670.0,Not prime farmland,0.011500000022351700,0.045099999755621000,0.07020000368356710,0.10239999741315800,0.11779999732971200,0.1290999948978420,0.13490000367164600,0.1453000009059910,0.14259999990463300,0.10180000215768800,0.18459999561309800,0.15629999339580500,0.016499999910593000,0.03530000150203710,5.00000023748726E-04,0.010499999858439000,0.007199999876320360,0.004699999932199720,0.0,0.0,0.0,0.0,0.0,0.20234602689743000
31,487199,670.0,Not prime farmland,0.033399999141693100,0.0414000004529953,0.052000001072883600,0.055799998342990900,0.07680000364780430,0.10320000350475300,0.11490000039339100,0.12359999865293500,0.12849999964237200,0.1657000035047530,0.17069999873638200,0.120899997651577,0.006899999920278790,0.11739999800920500,1.99999994947575E-04,0.005799999926239250,0.005400000140070920,0.00430000014603138,0.0,0.0,0.0,0.0,0.0,0.15708811581134800
32,487199,670.0,Not prime farmland,0.04569999873638150,0.04919999837875370,0.05620000138878820,0.06270000338554380,0.08129999786615370,0.10760000348091100,0.11949999630451200,0.12700000405311600,0.1315000057220460,0.16419999301433600,0.19869999587535900,0.16040000319480900,0.006200000178068880,0.08309999853372570,5.00000023748726E-04,0.006500000134110450,0.005799999926239250,0.005100000184029340,0.0,0.0,0.0,0.0,0.0,0.19469837844371800
33,487199,670.0,Not prime farmland,0.02500000037252900,0.04470000043511390,0.05469999834895130,0.06520000100135800,0.08229999989271160,0.10869999974966000,0.12160000205040000,0.12970000505447400,0.13519999384880100,0.11429999768734000,0.19769999384880100,0.15520000457763700,0.006500000134110450,0.09189999848604200,5.00000023748726E-04,0.0066999997943639800,0.00559999980032444,0.004600000102072950,0.0,0.0,0.0,0.0,0.0,0.20237821340560900
34,487199,670.0,Not prime farmland,0.023000000044703500,0.03359999880194660,0.04320000112056730,0.04989999905228620,0.07129999995231630,0.10450000315904600,0.1160999983549120,0.12439999729394900,0.1307000070810320,0.10350000113248800,0.19660000503063200,0.14800000190734900,0.006800000090152030,0.10909999907016800,5.00000023748726E-04,0.005200000014156100,0.0044999998062849000,0.0035000001080334200,0.0,0.0,0.0,0.0,0.0,0.21878860890865300
35,487199,670.0,Not prime farmland,0.016100000590086000,0.03099999949336050,0.05260000005364420,0.06379999965429310,0.0763000026345253,0.07010000199079510,0.0729999989271164,0.07760000228881840,0.07609999924898150,0.07180000096559530,0.10220000147819500,0.08129999786615370,0.01769999973475930,0.04500000178813930,1.99999994947575E-04,0.006599999964237210,0.005400000140070920,0.0032999999821186100,9.99999974737875E-05,0.0,0.0,0.0,0.0,0.20903131365776100
36,487199,670.0,Not prime farmland,0.014600000344216800,0.020800000056624400,0.03480000048875810,0.037300001829862600,0.06319999694824220,0.12389999628067000,0.1444000005722050,0.15309999883174900,0.16009999811649300,0.16009999811649300,0.12710000574588800,0.07850000262260440,0.009200000204145910,0.06949999928474430,3.9999998989515E-04,0.0038999998942017600,0.003599999938160180,0.002199999988079070,0.0,0.0,0.0,0.0,0.0,-0.02808157540857790
